Date,High,Low,Open,Close,Volume,Adj Close
2019-04-11,600.0,600.0,600.0,600.0,463600.0,600.0
2019-04-12,750.0,750.0,750.0,750.0,1218100.0,750.0
2019-04-15,935.0,790.0,845.0,935.0,8341200.0,935.0
2019-04-16,1165.0,995.0,1000.0,1120.0,9361400.0,1120.0
2019-04-17,1120.0,1120.0,1120.0,1120.0,0.0,1120.0
2019-04-18,1285.0,1110.0,1120.0,1220.0,8972600.0,1220.0
2019-04-19,1220.0,1220.0,1220.0,1220.0,0.0,1220.0
2019-04-22,1380.0,1195.0,1230.0,1210.0,9548300.0,1210.0
2019-04-23,1210.0,910.0,1210.0,920.0,14412600.0,920.0
2019-04-24,1050.0,845.0,920.0,1035.0,12662400.0,1035.0
2019-04-25,1210.0,990.0,1040.0,1195.0,9221300.0,1195.0
2019-04-26,1250.0,985.0,1195.0,1100.0,5301800.0,1100.0
2019-04-29,1375.0,1100.0,1100.0,1375.0,11285700.0,1375.0
2019-04-30,1715.0,1285.0,1400.0,1715.0,11840000.0,1715.0
2019-05-01,1715.0,1715.0,1715.0,1715.0,0.0,1715.0
2019-05-02,1950.0,1290.0,1720.0,1290.0,13420900.0,1290.0
2019-05-03,1270.0,970.0,1250.0,970.0,27475900.0,970.0
2019-05-06,1180.0,730.0,950.0,955.0,15929800.0,955.0
2019-05-07,1065.0,735.0,965.0,745.0,12307300.0,745.0
2019-05-08,750.0,595.0,735.0,605.0,5120200.0,605.0
2019-05-09,755.0,570.0,605.0,755.0,12735700.0,755.0
2019-05-10,900.0,610.0,800.0,625.0,18436900.0,625.0
2019-05-13,760.0,505.0,630.0,615.0,19872700.0,615.0
2019-05-14,765.0,550.0,620.0,765.0,19007500.0,765.0
2019-05-15,950.0,725.0,760.0,945.0,71464300.0,945.0
2019-05-16,1080.0,825.0,950.0,905.0,68702800.0,905.0
2019-05-17,955.0,865.0,910.0,915.0,3876500.0,915.0
2019-05-20,1140.0,845.0,920.0,1140.0,10214000.0,1140.0
2019-05-21,1290.0,920.0,1160.0,1165.0,15943900.0,1165.0
2019-05-22,1220.0,1100.0,1150.0,1145.0,1422300.0,1145.0
2019-05-23,1250.0,1100.0,1150.0,1200.0,3082700.0,1200.0
2019-05-24,1235.0,1170.0,1205.0,1180.0,30976200.0,1180.0
2019-05-27,1360.0,1130.0,1180.0,1170.0,27841900.0,1170.0
2019-05-28,1200.0,950.0,1175.0,1025.0,1886700.0,1025.0
2019-05-29,1060.0,955.0,1025.0,980.0,1653700.0,980.0
2019-05-30,980.0,980.0,980.0,980.0,0.0,980.0
2019-05-31,1035.0,935.0,980.0,995.0,714800.0,995.0
2019-06-03,995.0,995.0,995.0,995.0,0.0,995.0
2019-06-04,995.0,995.0,995.0,995.0,0.0,995.0
2019-06-05,995.0,995.0,995.0,995.0,0.0,995.0
2019-06-06,995.0,995.0,995.0,995.0,0.0,995.0
2019-06-07,995.0,995.0,995.0,995.0,0.0,995.0
2019-06-10,1015.0,955.0,1015.0,955.0,514300.0,955.0
2019-06-11,1010.0,955.0,960.0,1010.0,769200.0,1010.0
2019-06-12,1030.0,970.0,1030.0,975.0,744200.0,975.0
2019-06-13,1020.0,965.0,975.0,990.0,972900.0,990.0
2019-06-14,1085.0,965.0,1005.0,1070.0,2286300.0,1070.0
2019-06-17,1120.0,990.0,1080.0,1040.0,947200.0,1040.0
2019-06-18,1100.0,1005.0,1045.0,1075.0,2281000.0,1075.0
2019-06-19,1090.0,1010.0,1085.0,1010.0,356800.0,1010.0
2019-06-20,1260.0,1000.0,1010.0,1260.0,3388400.0,1260.0
2019-06-21,1575.0,1150.0,1300.0,1300.0,3846900.0,1300.0
2019-06-24,1470.0,1275.0,1300.0,1275.0,782100.0,1275.0
2019-06-25,1340.0,1230.0,1300.0,1230.0,242900.0,1230.0
2019-06-26,1285.0,1190.0,1235.0,1205.0,4700200.0,1205.0
2019-06-27,1230.0,1155.0,1230.0,1185.0,251100.0,1185.0
2019-06-28,1225.0,1190.0,1200.0,1195.0,96000.0,1195.0
2019-07-01,1300.0,1180.0,1200.0,1180.0,3167300.0,1180.0
2019-07-02,1215.0,1180.0,1180.0,1180.0,87400.0,1180.0
2019-07-03,1260.0,1170.0,1170.0,1195.0,218400.0,1195.0
2019-07-04,1245.0,1190.0,1205.0,1215.0,858100.0,1215.0
2019-07-05,1240.0,1175.0,1220.0,1185.0,156800.0,1185.0
2019-07-08,1185.0,1150.0,1185.0,1150.0,87800.0,1150.0
2019-07-09,1140.0,1025.0,1100.0,1115.0,257200.0,1115.0
2019-07-10,1115.0,1070.0,1100.0,1070.0,73200.0,1070.0
2019-07-11,1100.0,1075.0,1100.0,1090.0,101800.0,1090.0
2019-07-12,1110.0,1080.0,1090.0,1080.0,42700.0,1080.0
2019-07-15,1080.0,1035.0,1080.0,1050.0,91300.0,1050.0
2019-07-16,1075.0,1030.0,1075.0,1050.0,37600.0,1050.0
2019-07-17,1285.0,1005.0,1030.0,1200.0,644600.0,1200.0
2019-07-18,1280.0,1130.0,1210.0,1245.0,73435400.0,1245.0
2019-07-19,1295.0,1220.0,1270.0,1235.0,276200.0,1235.0
2019-07-22,1235.0,1100.0,1235.0,1100.0,81300.0,1100.0
